MOVIE NAME,CAST,MENTIONS,TOTAL CENTRALITY,COUNT,AVERAGE CENTRALITY
Aan Milo Sajna,anil,13,9219.2,131,70.37557252
Bachpan,tom,11,29,59,0.491525424
Bachpan,father,5,469.3333333,63,7.44973545
Bachpan,rahim,2,0,29,0
Aag Aur Shola,nagesh,4,94,38,2.473684211
Aag Aur Shola,vishal,12,463.7666667,95,4.881754386
Aag Aur Shola,brother,1,17,7,2.428571429
Aag Aur Shola,raju,13,334.6666667,97,3.450171821
Aakhree Raasta,mahesh,0,108.3333333,64,1.692708333
Aakhree Raasta,chaturvedi,0,92,37,2.486486486
Aakhree Raasta,david,0,87,142,0.612676056
Aap Ke Saath,vimal,5,64,27,2.37037037
Aap Ke Saath,ashok,7,422,69,6.115942029
Bombay Talkie,actor,1,15,4,3.75
Chetna,actor,1,0,31,0
Chetna,man,1,368.1666667,25,14.72666667
Chetna,anil,18,526,180,2.922222222
Adhikar,vishal,0,349,143,2.440559441
Adhikar,boy,0,18,5,3.6
Aisa Pyaar Kahan,suraj,10,101,53,1.905660377
Aisa Pyaar Kahan,deepak,1,10.5,5,2.1
Aisa Pyaar Kahan,sagar,9,45,70,0.642857143
Amrit (film),son,5,405.6666667,59,6.875706215
Amrit (film),amrit,25,1514.8,203,7.462068966
Angaaray,ravi,6,305.8333333,53,5.770440252
Angaaray,jolly,6,7,33,0.212121212
Angaaray,brother,4,259,54,4.796296296
Angaaray,vijay,11,150,90,1.666666667
Dharti,son,1,60,9,6.666666667
Dharti,bharat,4,36,32,1.125
Dharti,man,1,152.5,17,8.970588235
Dharti,diwan,7,222,70,3.171428571
Anokha Rishta,father,5,900.6666667,63,14.2962963
Anokha Rishta,robert,39,4422.05,693,6.381024531
Anokha Rishta,son,3,708.3333333,49,14.45578231
Anokha Rishta,bob,26,2891.866667,433,6.678675905
Anokha Rishta,man,1,1219,96,12.69791667
Anubhav,bijli,0,211.35,138,1.531521739
Anubhav,amit,0,154,43,3.581395349
Anubhav,man,0,12,4,3
Anubhav,ramesh,0,493,188,2.622340426
Asli Naqli,durjan,3,0,32,0
Geet,kunver,13,777,140,5.55
Geet,father,5,233.3333333,32,7.291666667
Geet,sarju,36,513,240,2.1375
Baat Ban Jaye,man,1,20,5,4
Ghar Ghar Ki Kahani,sadhuram,1,15,7,2.142857143
Ghar Ghar Ki Kahani,ravi,4,119,53,2.245283019
Ghar Ghar Ki Kahani,shankarnath,5,32.5,50,0.65
Bhagwaan Dada,young,8,57,127,0.448818898
Bhagwaan Dada,father,5,336,40,8.4
Bhagwaan Dada,bhagwaan,71,4715.316667,741,6.363450292
Bhagwaan Dada,inspector,4,0,101,0
Bhagwaan Dada,govinda,22,3455.033333,244,14.15997268
Bhagwaan Dada,boy,3,114,35,3.257142857
Bhagwaan Dada,shambu,28,690.6666667,301,2.294573643
Bhagwaan Dada,swaroop,32,2280.083333,361,6.316020314
Bhagwaan Dada,dada,10,661,140,4.721428571
Bhagwaan Dada,man,2,797.25,66,12.07954545
Bhagwaan Dada,vijay,4,326,101,3.227722772
Chameli Ki Shaadi,harish,2,14.66666667,13,1.128205128
Chameli Ki Shaadi,charandas,8,139,61,2.278688525
Chameli Ki Shaadi,charan,8,0,16,0
Chameli Ki Shaadi,kallumal,1,36,6,6
Chameli Ki Shaadi,bhajandas,1,29,5,5.8
Dahleez,rahul,10,30,125,0.24
Dahleez,will,2,0,23,0
Dahleez,chandrashekhar,3,8,11,0.727272727
Dahleez,man,1,148,11,13.45454545
Dharm Adhikari,prakash,6,63,49,1.285714286
Dharm Adhikari,son,2,71,17,4.176470588
Dharm Adhikari,chowdry,14,94,113,0.831858407
Dharm Adhikari,brother,1,24,7,3.428571429
Dilwaala,raghu,3,162,21,7.714285714
Dilwaala,mla,1,0,17,0
Dilwaala,father,2,52,19,2.736842105
Dosti Dushmani,prakash,8,23,104,0.221153846
Dosti Dushmani,dr.sandeep,0,0,0,0
Dosti Dushmani,sandeep,0,767,182,4.214285714
Dosti Dushmani,daga,8,390,81,4.814814815
Dosti Dushmani,inspector,1,0,13,0
Dosti Dushmani,advocate,1,0,10,0
Dosti Dushmani,ranjith,12,504,132,3.818181818
Himmat,the,17,0,156,0
Himmat,raghu,26,1481.428571,214,6.922563418
Himmat,mathur,4,340.2166667,85,4.00254902
Himmat,man,1,90,15,6
Ek Chadar Maili Si,mangal,1,101,41,2.463414634
Ek Chadar Maili Si,man,1,102,12,8.5
Ek Chadar Maili Si,brother,3,735.5833333,53,13.87893082
Ek Ruka Hua Faisla,juror,7,483.5,132,3.662878788
Ek Ruka Hua Faisla,boy,5,438.1666667,74,5.921171171
Humjoli,roopa,5,235,36,6.527777778
Humjoli,man,1,16,4,4
Genesis,man,0,0,0,0
Ghar Sansar,prakash,16,3217,136,23.65441176
Ghar Sansar,chandan,4,74,48,1.541666667
Ghar Sansar,father,3,53.16666667,35,1.519047619
Ghar Sansar,man,1,156,17,9.176470588
Ghar Sansar,satya,5,0,92,0
Ghar Sansar,brother,3,471,42,11.21428571
Ishq Par Zor Nahin,amar,12,243,103,2.359223301
Ishq Par Zor Nahin,ram,6,883,81,10.90123457
Ilzaam,man,1,162,15,10.8
Ilzaam,ajay,10,151.1333333,98,1.542176871
Jawab,raja,14,185,95,1.947368421
Jawab,sagar,2,36,10,3.6
Jawab,zamindar,3,280,40,7
Jaal,shankar,0,360,224,1.607142857
Jaal,father,0,58.58333333,20,2.929166667
Jaal,bhanu,0,38,41,0.926829268
Jeevan Mrityu,ashok,15,0,118,0
Janbaaz,amar,9,125,96,1.302083333
Janbaaz,raja,4,137,18,7.611111111
Janbaaz,rana,8,510,69,7.391304348
Janbaaz,vikas,3,118,15,7.866666667
Janbaaz,singh,1,221.8333333,24,9.243055556
Janbaaz,rajesh,8,48,52,0.923076923
Johny Mera Naam,sohan,3,157,30,5.233333333
Johny Mera Naam,mohan,2,27,23,1.173913043
Jeeva,jeeva,0,6,20,0.3
Jeeva,lala,0,215,19,11.31578947
Jeeva,jeevan,0,0,37,0
Khilona,thakur,2,0,20,0
Khilona,vijaykamal,20,0,38,0
Khilona,bihari,7,368.8333333,61,6.046448087
Khilona,mohan,7,18,64,0.28125
Khilona,singh,1,52,11,4.727272727
Khilona,brother,2,146,31,4.709677419
Khilona,vijay,20,490.5,142,3.454225352
Maa Aur Mamta,father,7,75.5,57,1.324561404
Maa Aur Mamta,boy,1,10,8,1.25
Maa Aur Mamta,henry,3,134.5,27,4.981481481
Maa Aur Mamta,williams,8,21,72,0.291666667
Maa Aur Mamta,man,1,40,6,6.666666667
Maa Aur Mamta,bothe,1,193,23,8.391304348
Maa Aur Mamta,cassim,3,0,25,0
Maa Aur Mamta,ram,9,229,85,2.694117647
Karma,the,0,749,369,2.029810298
Karma,baiju,0,271,99,2.737373737
Karma,johnny,0,54,117,0.461538462
Karma,dang,0,1241,89,13.94382022
Karma,khairuddin,0,474.5,92,5.157608696
Karma,singh,0,980.5,280,3.501785714
Man Ki Aankhen,rajesh,7,262,43,6.093023256
Krishna-Krishna,father,1,15,5,3
Krishna-Krishna,gopalakrishnan,5,227,51,4.450980392
Love and God,allah,3,93.83333333,22,4.265151515
Love and God,kais,25,563.3333333,178,3.164794007
Love and God,father,6,145.3333333,73,1.99086758
Mera Naam Joker,raju,37,703,294,2.391156463
Mere Humsafar,raju,13,340,170,2
Main Balwan,tony,5,134,50,2.68
Main Balwan,father,1,10,4,2.5
Main Balwan,anil,2,74,40,1.85
Mazloom,father,1,13,8,1.625
Mohabbat Ki Kasam,son,5,241.3333333,28,8.619047619
Mohabbat Ki Kasam,boy,1,12,5,2.4
Pagla Kahin Ka,max,3,0,11,0
Pagla Kahin Ka,shyam,3,3.5,27,0.12962963
Pagla Kahin Ka,sujit,11,0,100,0
Pagla Kahin Ka,ajit,2,25,19,1.315789474
Naam,son,0,166,22,7.545454545
Naam,ravi,0,113,51,2.215686275
Naam,vicky,0,75,101,0.742574257
Nagina,bhairo,0,490.1666667,61,8.035519126
Nagina,rajiv,0,262.8333333,184,1.428442029
Pavitra Paapi,kedarnath,5,1278.833333,80,15.98541667
Pavitra Paapi,pannalal,6,21.58333333,111,0.194444444
Pavitra Paapi,kedar,5,308,49,6.285714286
Nasihat,mohanlal,10,739,136,5.433823529
Nasihat,seth,12,54.5,98,0.556122449
Nasihat,rajesh,1,73,18,4.055555556
Nasihat,dinesh,5,499.5,41,12.18292683
Nasihat,jagdish,3,283,45,6.288888889
Prem Pujari,lieutenant,11,656.3333333,110,5.966666667
Prem Pujari,man,1,96.5,15,6.433333333
Purab Aur Paschim,harnam,1,0,26,0
Purab Aur Paschim,father,1,60.33333333,19,3.175438596
Purab Aur Paschim,bharat,5,139,56,2.482142857
Patton Ki Bazi,mahesh,3,336,33,10.18181818
Rootha Na Karo,sudhir,7,161,29,5.551724138
Rootha Na Karo,sudheer,16,519.4166667,117,4.439458689
Rootha Na Karo,man,1,76,14,5.428571429
Rootha Na Karo,anil,3,55.66666667,39,1.427350427
Sachaa Jhutha,brother,5,258.4,60,4.306666667
Safar (film),kalidas,2,36,18,2
Safar (film),brother,5,109,38,2.868421053
Safar (film),avinash,12,224,107,2.093457944
Sawan Bhadon,madan,10,672,91,7.384615385
Sawan Bhadon,vikram,30,1594.833333,292,5.461757991
Sawan Bhadon,man,5,375.1666667,55,6.821212121
Sawan Bhadon,vinodh,7,876.8333333,67,13.08706468
Suhana Safar,sunil,4,86,27,3.185185185
Suhana Safar,father,2,229.5,56,4.098214286
Tum Haseen Main Jawaan,sunil,10,655.5,86,7.622093023
Aap Aye Bahaar Ayee,son,4,121.3333333,30,4.044444444
Aap Aye Bahaar Ayee,rohit,25,741.0833333,191,3.880017452
Aap Aye Bahaar Ayee,kumar,15,336.3333333,120,2.802777778
Aap Aye Bahaar Ayee,whiskey,2,58,19,3.052631579
Albela,mahesh,0,854,60,14.23333333
Albela,father,0,377,52,7.25
Anand,anand,22,1020.166667,166,6.145582329
Anand,bhaskar,19,1180.166667,222,5.316066066
Anand,kulkarni,2,22,25,0.88
Andaz,khanna,3,58.83333333,26,2.262820513
Andaz,shammi,3,72,29,2.482758621
Andaz,man,1,500.6666667,27,18.54320988
Andaz,rajesh,3,0,24,0
Anubhav,amar,16,805.3333333,177,4.549905838
Anubhav,shashi,10,398.5,99,4.025252525
Banphool,raja,3,23,10,2.3
Banphool,haria,11,137,91,1.505494505
Banphool,father,2,246.3333333,30,8.211111111
Banphool,ajay,17,534,122,4.37704918
Bikhare Moti,anand,4,53,58,0.913793103
Bikhare Moti,gopi,4,72,48,1.5
Buddha Mil Gaya,man,1,101,15,6.733333333
Buddha Mil Gaya,ajay,3,9,57,0.157894737
Caravan,father,2,60,31,1.935483871
Caravan,mohan,2,302.8333333,27,11.21604938
Caravan,man,1,28,5,5.6
Chaahat,father,7,338.1666667,136,2.486519608
Chaahat,arun,47,2032.5,372,5.463709677
Chaahat,boy,1,37.75,24,1.572916667
Chaahat,brother,9,2638.233333,130,20.29410256
Chaahat,ashok,45,4941.8,558,8.856272401
Chhoti Bahu,madhu,11,411.8333333,80,5.147916667
Chhoti Bahu,gopi,10,290,93,3.11827957
Chhoti Bahu,niku,5,124,33,3.757575758
Chhoti Bahu,shriram,4,27,39,0.692307692
Do Boond Pani,son,1,14,8,1.75
Do Boond Pani,ganga,13,0,82,0
Do Boond Pani,singh,4,303.9666667,48,6.332638889
Dushman,surjit,35,1227.833333,426,2.882237872
Dushman,father,1,522.65,50,10.453
Dushman,judge,6,359.9,104,3.460576923
Dushman,man,1,178,13,13.69230769
Dushman,singh,1,13,8,1.625
Ek Nari Ek Brahmachari,rajkumar,5,393.1666667,51,7.709150327
Ek Nari Ek Brahmachari,mohan,4,252.8333333,37,6.833333333
Ek Nari Ek Brahmachari,surajbhan,4,76,100,0.76
Ek Nari Ek Brahmachari,chaudhary,3,135,56,2.410714286
Ek Paheli,shankarlal,7,219,70,3.128571429
Ek Paheli,sudhir,34,551.8333333,238,2.318627451
Ek Paheli,father,3,37.66666667,27,1.395061728
Ek Paheli,rocky,2,106.1666667,37,2.869369369
Elaan,saxena,1,30,11,2.727272727
Elaan,shyam,5,123,52,2.365384615
Elaan,mr.,0,0,0,0
Elaan,naresh,15,739.3333333,169,4.374753452
Guddi,navin,7,1276.333333,58,22.00574713
Qatl,fakir,1,36,12,3
Qatl,judge,2,115,34,3.382352941
Qatl,man,1,84,12,7
Qatl,rakesh,35,1766.7,376,4.698670213
Qatl,shatru,3,207.6666667,39,5.324786325
Haathi Mere Saathi,ramu,8,451,68,6.632352941
Haathi Mere Saathi,kumar,1,76.16666667,11,6.924242424
Haathi Mere Saathi,raju,7,395.6666667,63,6.28042328
Suhaagan,jagat,3,0,35,0
Suhaagan,murali,10,490,72,6.805555556
Suhaagan,ram,5,0,63,0
Hare Rama Hare Krishna,michael,4,45,58,0.775862069
Hare Rama Hare Krishna,drona,8,574.5,119,4.827731092
Hare Rama Hare Krishna,prashant,31,1064.5,289,3.683391003
Hare Rama Hare Krishna,father,4,199.6666667,60,3.327777778
Shart,vikram,0,0,15,0
Shart,inspector,0,0,22,0
Hulchul,mahesh,8,16,34,0.470588235
Hulchul,peter,13,963,165,5.836363636
Hulchul,man,2,102.5,30,3.416666667
Hulchul,kumar,3,11,31,0.35483871
Shatru,choudhry,1,360.1666667,22,16.37121212
Shatru,nishikant,4,4,24,0.166666667
Shatru,shah,5,401.4166667,54,7.433641975
Shatru,inspector,1,30,5,6
Shatru,man,2,192.6666667,23,8.376811594
Shatru,ashok,21,761.5,195,3.905128205
Singhasan,the,22,2,169,0.01183432
Singhasan,simha,7,101.8333333,57,1.786549708
Singhasan,vardhana,7,824.6666667,99,8.32996633
Singhasan,chandana,5,71,27,2.62962963
Singhasan,aditya,11,3,99,0.03030303
Singhasan,vikrama,12,0,104,0
Swarag Se Sunder,son,3,1321.833333,36,36.71759259
Swarag Se Sunder,ravi,25,776.1666667,215,3.610077519
Swarag Se Sunder,milavat,13,18,101,0.178217822
Swarag Se Sunder,brother,3,19,29,0.655172414
Swarag Se Sunder,vijay,13,691.3333333,166,4.164658635
Swarag Se Sunder,ram,8,601.6666667,103,5.841423948
Swati,prakash,0,146.5,45,3.255555556
Swati,mohan,0,118,13,9.076923077
Swati,man,0,34,7,4.857142857
Swati,satya,0,34,60,0.566666667
The Living Corpse,the,18,0,117,0
Johar Mehmood in Hong Kong,mahesh,4,0,106,0
Johar Mehmood in Hong Kong,man,2,318,28,11.35714286
Johar Mehmood in Hong Kong,pran,1,141,20,7.05
Johar Mehmood in Hong Kong,johar,2,79,31,2.548387097
Kal Aaj Aur Kal,bahadur,4,0,27,0
Kal Aaj Aur Kal,diwan,1,0,10,0
Kal Aaj Aur Kal,rajesh,4,172.5,41,4.207317073
Kal Aaj Aur Kal,ram,7,125,50,2.5
Kangan,sunil,0,17,31,0.548387097
Kathputli,vishal,7,1223.166667,67,18.25621891
Kati Patang,kamal,11,256.6666667,121,2.121212121
Kati Patang,kailash,5,52,33,1.575757576
Kati Patang,dinanath,8,44,63,0.698412698
Lal Patthar,raja,4,0,59,0
Lal Patthar,man,3,207.8333333,23,9.036231884
Lal Patthar,kumar,2,0,39,0
Main Sunder Hoon,amar,28,1550.945238,168,9.231816893
Main Sunder Hoon,actor,1,6,4,1.5
Main Sunder Hoon,sunder,19,224.5,175,1.282857143
Main Sunder Hoon,heartbroken,3,0,28,0
Main Sunder Hoon,father,2,117,13,9
Main Sunder Hoon,man,2,165,32,5.15625
Aan Baan,suraj,0,158.3333333,62,2.553763441
Aan Baan,raja,0,0,77,0
Aan Baan,bahadur,0,97.66666667,84,1.162698413
Aan Baan,brother,0,112,25,4.48
Aan Baan,hiralal,0,35,29,1.206896552
Aankhon Aankhon Mein,son,2,121,27,4.481481481
Aankhon Aankhon Mein,kulwant,7,26,57,0.456140351
Aankhon Aankhon Mein,rai,2,62,26,2.384615385
Aankhon Aankhon Mein,rakesh,10,195,80,2.4375
Amar Prem,anand,24,2808,241,11.65145228
Amar Prem,son,6,855.7238095,117,7.313878714
Amar Prem,father,5,440.1761905,116,3.794622332
Amar Prem,nandu,42,4585.52619,368,12.460669
Amar Prem,man,1,102,17,6
Amar Prem,brother,2,296.6666667,25,11.86666667
Mehboob Ki Mehndi,yusuf,7,236.3333333,65,3.635897436
Mehboob Ki Mehndi,nephew,2,25.33333333,11,2.303030303
Mehboob Ki Mehndi,khairuddin,2,0,19,0
Annadata,prasad,0,642.5,104,6.177884615
Annadata,amba,0,299.8333333,179,1.675046555
Annadata,man,0,626.5,35,17.9
Annadata,brother,0,171.8666667,33,5.208080808
Anokha Milan,brother,3,152,32,4.75
Mera Gaon Mera Desh,havaldar,5,0,51,0
Mera Gaon Mera Desh,ajit,11,524.9166667,110,4.771969697
Mera Gaon Mera Desh,jaswant,7,18,51,0.352941176
Mera Gaon Mera Desh,jabbar,6,837.2,63,13.28888889
Anuraag,father,0,6.5,6,1.083333333
Anuraag,boy,0,187,29,6.448275862
Anuraag,rajesh,0,2,27,0.074074074
Apna Desh,man,1,102,17,6
Apna Desh,brother,3,173,31,5.580645161
Apradh,brother,2,666.75,36,18.52083333
Apradh,ram,10,151.25,109,1.387614679
Bawarchi,raghu,5,72,52,1.384615385
Bawarchi,man,1,68,15,4.533333333
Parwana,kumar,9,83,90,0.922222222
Parwana,rajesh,6,205.6666667,44,4.674242424
Be-Imaan,mohan,0,0,73,0
Be-Imaan,father,0,31.5,16,1.96875
Patanga,amar,19,177,157,1.127388535
Patanga,chandan,5,0,54,0
Patanga,shyam,24,648.5833333,206,3.148462783
Patanga,singh,19,1668.566667,176,9.480492424
Patanga,kuldeep,8,413.5,62,6.669354839
Patanga,brother,3,437.8333333,44,9.950757576
Bhai Ho To Aisa,thakur,6,493.5,60,8.225
Bhai Ho To Aisa,son,3,391.3333333,49,7.986394558
Bhai Ho To Aisa,bharat,11,562.1666667,80,7.027083333
Bhai Ho To Aisa,man,1,6,7,0.857142857
Bhai Ho To Aisa,ram,4,176,39,4.512820513
Dastaan,the,0,0,145,0
Dastaan,rajen,0,18,22,0.818181818
Dastaan,sunil,0,96,37,2.594594595
Dastaan,vishnu,0,416,275,1.512727273
Dastaan,man,0,95,21,4.523809524
Dastaan,judge,0,6,13,0.461538462
Dastaan,anil,0,74,75,0.986666667
Dharkan,suraj,4,280.6666667,73,3.844748858
Dharkan,deepak,8,344,77,4.467532468
Dharkan,father,1,62.41666667,21,2.972222222
Dharkan,friend,3,448.5,56,8.008928571
Dharkan,kewal,4,0,45,0
Dharkan,doby,6,360,50,7.2
Dharkan,brother,2,60.33333333,16,3.770833333
Pyar Ki Kahani,ravi,15,586.8333333,113,5.193215339
Pyar Ki Kahani,ram,9,490.1666667,137,3.577858881
Reshma Aur Shera,father,3,268,27,9.925925926
Reshma Aur Shera,shera,10,83.33333333,128,0.651041667
Reshma Aur Shera,gopal,2,105.3333333,20,5.266666667
Reshma Aur Shera,brother,2,239.3333333,24,9.972222222
Reshma Aur Shera,chotu,6,438.1666667,65,6.741025641
Do Chor,tony,0,235,52,4.519230769
Do Chor,the,0,0,107,0
Do Chor,father,0,12.5,4,3.125
Do Chor,man,0,0,0,0
Sanjog,son,3,84,16,5.25
Sanjog,father,2,234.5,25,9.38
Sanjog,mohan,9,32,63,0.507936508
Dushman,surjit,35,1212.5,426,2.846244131
Dushman,father,1,525.6666667,50,10.51333333
Dushman,judge,6,350.4333333,104,3.369551282
Dushman,man,1,177,13,13.61538462
Dushman,singh,1,13,8,1.625
Ek Bechara,rajen,2,46,20,2.3
Ek Bechara,raibahadur,18,399.75,206,1.940533981
